250,'BOBBY BARE','SHAME ON ME',0
251,'BOBBY BARE','DETROIT CITY',0
252,'BOBBY BARE','500 MILES AWAY FROM HERE',0
253,'BOBBY BARE','MILLER*S CAVE',0
254,'H. B. BARNUM','LOST LOVE',0
255,'RAY BARRETTO','EL WATUSI',0
256,'JOE BARRY','I*M A FOOL TO CARE',0
257,'LEN BARRY','1-2-3',0
258,'LEN BARRY','LIKE A BABY',0
259,'LEN BARRY','SOMEWHERE',0
260,'BARRY AND THE TAMERLANES','I WONDER WHAT SHE*S DOING TONIGHT',0
261,'CHRIS BARTLEY','THE SWEETEST THING THIS SIDE OF HEAVEN',0
262,'COUNT BASIE','APRIL IN PARIS',0
263,'FONTELLA BASS / BOBBY MCCLURE','DON*T MESS UP A GOOD THING',0
264,'FONTELLA BASS','RESCUE ME',0
265,'FONTELLA BASS','RECOVERY',0
266,'SHIRLEY BASSEY','GOLDFINGER',0
267,'LES BAXTER','UNCHAINED MELODY',0
268,'LES BAXTER','WAKE THE TOWN AND TELL THE PEOPLE',0
269,'LES BAXTER','THE POOR PEOPLE OF PARIS',1
270,'BAY CITY ROLLERS','SATURDAY NIGHT',1
271,'BAY CITY ROLLERS','MONEY HONEY',0
272,'BAY CITY ROLLERS','ROCK AND ROLL LOVE LETTER',0
273,'BAY CITY ROLLERS','I ONLY WANT TO BE WITH YOU',0
274,'BAY CITY ROLLERS','YOU MADE ME BELIEVE IN MAGIC',0
275,'BAY CITY ROLLERS','THE WAY I FEEL TONIGHT',0
276,'BAZUKA','DYNOMITE',0
277,'B. BUMBLE AND THE STINGERS','BUMBLE BOOGIE',0
278,'B. BUMBLE AND THE STINGERS','NUT ROCKER',0
279,'BEACH BOYS','SURFIN* SAFARI',0
280,'BEACH BOYS','SURFIN* U.S.A',0
281,'BEACH BOYS','SHUT DOWN',0
282,'BEACH BOYS','SURFER GIRL',0
283,'BEACH BOYS','LITTLE DEUCE COUPE',0
284,'BEACH BOYS','BE TRUE TO YOUR SCHOOL',0
285,'BEACH BOYS','IN MY ROOM',0
286,'BEACH BOYS','FUN; FUN; FUN',0
287,'BEACH BOYS','I GET AROUND',1
288,'BEACH BOYS','DON*T WORRY BABY',0
289,'BEACH BOYS','WHEN I GROW UP TO BE A MAN',0
290,'BEACH BOYS','DANCE; DANCE; DANCE',0
291,'BEACH BOYS','DO YOU WANNA DANCE',0
292,'BEACH BOYS','HELP ME; RHONDA',1
293,'BEACH BOYS','CALIFORNIA GIRLS',0
294,'BEACH BOYS','THE LITTLE GIRL I ONCE KNEW',0
295,'BEACH BOYS','BARBARA ANN',0
296,'BEACH BOYS','SLOOP JOHN B',0
297,'BEACH BOYS','WOULDN*T IT BE NICE',0
298,'BEACH BOYS','GOD ONLY KNOWS',0
299,'BEACH BOYS','GOOD VIBRATIONS',1
300,'BEACH BOYS','HEROES AND VILLIANS',0
301,'BEACH BOYS','WILD HONEY',0
302,'BEACH BOYS','DARLIN*',0
303,'BEACH BOYS','DO IT AGAIN',0
304,'BEACH BOYS','I CAN HEAR MUSIC',0
305,'BEACH BOYS','SURFIN* U.S.A',0
306,'BEACH BOYS','ROCK AND ROLL MUSIC',0
307,'BEACH BOYS','IT*S O.K',0
